code,numeric,minor,symbol,unit,name,plural
AED,784,2,د.إ,Dirham,United Arab Emirates Dirham,United Arab Emirates Dirhams
AFN,971,2,؋,Afghani,Afghan Afghani,Afghan Afghanis
ALL,008,2,L,Lek,Albanian Lek,Albanian Leke
AMD,051,2,֏,Dram,Armenian Dram,Armenian Drams
ANG,532,2,ƒ,Guilder,Netherlands Antillean Guilder,Netherlands Antillean Guilders
AOA,973,2,Kz,Kwanza,Angolan Kwanza,Angolan Kwanzas
ARS,032,2,$,Peso,Argentine Peso,Argentine Pesos
AUD,036,2,$,Dollar,Australian Dollar,Australian Dollars
AWG,533,2,ƒ,Florin,Aruban Florin,Aruban Florin
AZN,944,2,₼,Manat,Azerbaijani Manat,Azerbaijani Manats
BAM,977,2,KM,Mark,Bosnia-Herzegovina Convertible Mark,Bosnia-Herzegovina Convertible Marks
BBD,052,2,$,Dollar,Barbadian Dollar,Barbadian Dollars
BDT,050,2,৳,Taka,Bangladeshi Taka,Bangladeshi Takas
BGN,975,2,лв,Lev,Bulgarian Lev,Bulgarian Leva
BHD,048,3,.د.ب,Dinar,Bahraini Dinar,Bahraini Dinars
BIF,108,0,FBu,Franc,Burundian Franc,Burundian Francs
BMD,060,2,$,Dollar,Bermudian Dollar,Bermudian Dollars
BND,096,2,$,Dollar,Brunei Dollar,Brunei Dollars
BOB,068,2,$b,Boliviano,Bolivian Boliviano,Bolivian Bolivianos
BOV,984,2,BOV,Mvdol,Bolivian Mvdol,Bolivian Mvdol
BRL,986,2,R$,Real,Brazilian Real,Brazilian Reais
BSD,044,2,$,Dollar,Bahamian Dollar,Bahamian Dollars
BTN,064,2,Nu.,Ngultrum,Bhutanese Ngultrum,Bhutanese Ngultrums
BWP,072,2,P,Pula,Botswana Pula,Botswana Pule
BYN,933,2,Br,Ruble,Belarusian Ruble,Belarusian Rubles
BZD,084,2,BZ$,Dollar,Belize Dollar,Belize Dollars
CAD,124,2,$,Dollar,Canadian Dollar,Canadian Dollars
CDF,976,2,FC,Franc,Congolese Franc,Congolese Francs
CHE,947,2,CHE,Euro,WIR Euro,WIR Euros
CHF,756,2,CHF,Franc,Swiss Franc,Swiss Francs
CHW,948,2,CHW,Franc,WIR Franc,WIR Francs
CLF,990,4,UF,Unit,Unidad de Fomento,Unidades de Fomento
CLP,152,0,$,Peso,Chilean Peso,Chilean Pesos
CNY,156,2,¥,Yuan,Chinese Yuan,Chinese Yuan
COP,170,2,$,Peso,Colombian Peso,Colombian Pesos
COU,970,2,COU,Unit,Unidad de Valor Real,Unidades de Valor Real
CRC,188,2,₡,Colon,Costa Rican Colon,Costa Rican Colones
CUC,931,2,$,Peso,Cuban Convertible Peso,Cuban Convertible Pesos
CUP,192,2,₱,Peso,Cuban Peso,Cuban Pesos
CVE,132,2,$,Escudo,Cape Verdean Escudo,Cape Verdean Escudos
CZK,203,2,Kč,Koruna,Czech Koruna,Czech Koruny
DJF,262,0,Fdj,Franc,Djiboutian Franc,Djiboutian Francs
DKK,208,2,kr,Krone,Danish Krone,Danish Kroner
DOP,214,2,RD$,Peso,Dominican Peso,Dominican Pesos
DZD,012,2,دج,Dinar,Algerian Dinar,Algerian Dinars
EGP,818,2,£,Pound,Egyptian Pound,Egyptian Pounds
ERN,232,2,Nfk,Nakfa,Eritrean Nakfa,Eritrean Nakfas
ETB,230,2,Br,Birr,Ethiopian Birr,Ethiopian Birrs
EUR,978,2,€,Euro,Euro,Euros
FJD,242,2,FJ$,Dollar,Fiji Dollar,Fiji Dollars
FKP,238,2,£,Pound,Falkland Islands Pound,Falkland Islands Pounds
GBP,826,2,£,Pound,British Pound,British Pounds
GEL,981,2,₾,Lari,Georgian Lari,Georgian Lari
GHS,936,2,GH₵,Cedi,Ghanaian Cedi,Ghanaian Cedis
GIP,292,2,£,Pound,Gibraltar Pound,Gibraltar Pounds
GMD,270,2,D,Dalasi,Gambian Dalasi,Gambian Dalasis
GNF,324,0,FG,Franc,Guinean Franc,Guinean Francs
GTQ,320,2,Q,Quetzal,Guatemalan Quetzal,Guatemalan Quetzales
GYD,328,2,$,Dollar,Guyanese Dollar,Guyanese Dollars
HKD,344,2,HK$,Dollar,Hong Kong Dollar,Hong Kong Dollars
HNL,340,2,L,Lempira,Honduran Lempira,Honduran Lempiras
HTG,332,2,G,Gourde,Haitian Gourde,Haitian Gourdes
HUF,348,2,Ft,Forint,Hungarian Forint,Hungarian Forints
IDR,360,2,Rp,Rupiah,Indonesian Rupiah,Indonesian Rupiahs
ILS,376,2,₪,Shekel,Israeli New Shekel,Israeli New Shekels
INR,356,2,₹,Rupee,Indian Rupee,Indian Rupees
IQD,368,3,ع.د,Dinar,Iraqi Dinar,Iraqi Dinars
IRR,364,2,﷼,Rial,Iranian Rial,Iranian Rials
ISK,352,0,kr,Krona,Icelandic Krona,Icelandic Kronur
JMD,388,2,J$,Dollar,Jamaican Dollar,Jamaican Dollars
JOD,400,3,JD,Dinar,Jordanian Dinar,Jordanian Dinars
JPY,392,0,¥,Yen,Japanese Yen,Japanese Yen
KES,404,2,KSh,Shilling,Kenyan Shilling,Kenyan Shillings
KGS,417,2,лв,Som,Kyrgyzstani Som,Kyrgyzstani Soms
KHR,116,2,៛,Riel,Cambodian Riel,Cambodian Riels
KMF,174,0,CF,Franc,Comorian Franc,Comorian Francs
KPW,408,2,₩,Won,North Korean Won,North Korean Won
KRW,410,0,₩,Won,South Korean Won,South Korean Won
KWD,414,3,KD,Dinar,Kuwaiti Dinar,Kuwaiti Dinars
KYD,136,2,$,Dollar,Cayman Islands Dollar,Cayman Islands Dollars
KZT,398,2,₸,Tenge,Kazakhstani Tenge,Kazakhstani Tenge
LAK,418,2,₭,Kip,Lao Kip,Lao Kips
LBP,422,2,£,Pound,Lebanese Pound,Lebanese Pounds
LKR,144,2,Rs,Rupee,Sri Lankan Rupee,Sri Lankan Rupees
LRD,430,2,$,Dollar,Liberian Dollar,Liberian Dollars
LSL,426,2,M,Loti,Lesotho Loti,Lesotho Maloti
LYD,434,3,LD,Dinar,Libyan Dinar,Libyan Dinars
MAD,504,2,MAD,Dirham,Moroccan Dirham,Moroccan Dirhams
MDL,498,2,L,Leu,Moldovan Leu,Moldovan Lei
MGA,969,2,Ar,Ariary,Malagasy Ariary,Malagasy Ariary
MKD,807,2,ден,Denar,Macedonian Denar,Macedonian Denars
MMK,104,2,K,Kyat,Myanmar Kyat,Myanmar Kyats
MNT,496,2,₮,Tugrik,Mongolian Tugrik,Mongolian Tugriks
MOP,446,2,MOP$,Pataca,Macanese Pataca,Macanese Patacas
MRU,929,2,UM,Ouguiya,Mauritanian Ouguiya,Mauritanian Ouguiyas
MUR,480,2,Rs,Rupee,Mauritian Rupee,Mauritian Rupees
MVR,462,2,Rf,Rufiyaa,Maldivian Rufiyaa,Maldivian Rufiyaa
MWK,454,2,K,Kwacha,Malawian Kwacha,Malawian Kwachas
MXN,484,2,$,Peso,Mexican Peso,Mexican Pesos
MXV,979,2,MXV,Unit,Mexican Unidad de Inversion,Mexican Unidades de Inversion
MYR,458,2,RM,Ringgit,Malaysian Ringgit,Malaysian Ringgits
MZN,943,2,MT,Metical,Mozambican Metical,Mozambican Meticais
NAD,516,2,$,Dollar,Namibian Dollar,Namibian Dollars
NGN,566,2,₦,Naira,Nigerian Naira,Nigerian Nairas
NIO,558,2,C$,Córdoba,Nicaraguan Cordoba,Nicaraguan Cordobas
NOK,578,2,kr,Krone,Norwegian Krone,Norwegian Kroner
NPR,524,2,Rs,Rupee,Nepalese Rupee,Nepalese Rupees
NZD,554,2,$,Dollar,New Zealand Dollar,New Zealand Dollars
OMR,512,3,﷼,Rial,Omani Rial,Omani Rials
PAB,590,2,B/.,Balboa,Panamanian Balboa,Panamanian Balboa
PEN,604,2,S/.,Sol,Peruvian Sol,Peruvian Soles
PGK,598,2,K,Kina,Papua New Guinean Kina,Papua New Guinean Kina
PHP,608,2,₱,Peso,Philippine Peso,Philippine Pesos
